Product Code,Product Name,Product Qty,Material ID,Material Name,Ratio,Material Qty
FG-CAC-00001,CARTON BOX 540X360X220,300,MTRL-00023,"SHEET 186 X 60 CM K150/M125X3/K125 CB/F SCOORE 18,5+23+18,5","1,00",300
FG-CAC-00001,CARTON BOX 540X360X220,300,MTRL-00023,"SHEET 186 X 60 CM K150/M125X3/K125 CB/F SCOORE 18,5+23+18,5","1,00",300
FG-CAC-00001,CARTON BOX 540X360X220,300,MTRL-00023,"SHEET 186 X 60 CM K150/M125X3/K125 CB/F SCOORE 18,5+23+18,5","1,00",500
FG-CAC-00002,CARTON BOX 387X277X125,290,MTRL-00024,"SHEET 128 X 37,3 CM K200/M125X3/K150 CB/F SCOORE 11,8+13,7+11,8","1,00",290
FG-CAC-00002,CARTON BOX 387X277X125,290,MTRL-00024,"SHEET 128 X 37,3 CM K200/M125X3/K150 CB/F SCOORE 11,8+13,7+11,8","0,00",290
FG-CAC-00002,CARTON BOX 387X277X125,290,MTRL-00024,"SHEET 128 X 37,3 CM K200/M125X3/K150 CB/F SCOORE 11,8+13,7+11,8","1,00",400
FG-CAC-00002,CARTON BOX 387X277X125,290,MTRL-00024,"SHEET 128 X 37,3 CM K200/M125X3/K150 CB/F SCOORE 11,8+13,7+11,8","1,00",720
FG-CAC-00002,CARTON BOX 387X277X125,290,MTRL-00024,"SHEET 128 X 37,3 CM K200/M125X3/K150 CB/F SCOORE 11,8+13,7+11,8","0,16",700
FG-CAC-00003,CARTON BOX 720X275X160 (BOLONG SAMPING),64,MTRL-00578,SHEET 105 X 90 CM K125/M125X4 BC/F BRUTO,"1,00",64
FG-CAC-00005,CARTON BOX 620X263X205,400,MTRL-00104,"SHEET 182 X 48 CM K150/M125X3/K125 CB/F SCOORE 13,5+21+13,5","0,00",400
FG-CAC-00005,CARTON BOX 620X263X205,400,MTRL-00104,"SHEET 182 X 48 CM K150/M125X3/K125 CB/F SCOORE 13,5+21+13,5","0,00",500
FG-CAC-00011,CARTON BOX 1000X265X150,1500,MTRL-00577,"SHEET 130 X 42,2 CM K150/M125X3/K125 BC/F SCOORE 13,6 + 15 + 13,6","0,25",1500
FG-DHW-00001,CARTON BOX DH1 560X380X340 C/FLUTE,500,MTRL-00105,"SHEET 192 X 72,4 CM K125/M125/K125 C/F SCOORE 19.2+34+19.2","1,00",500
FG-DHW-00001,CARTON BOX DH1 560X380X340 C/FLUTE,500,MTRL-00105,"SHEET 192 X 72,4 CM K125/M125/K125 C/F SCOORE 19.2+34+19.2","2,00",200
FG-DHW-00003,CARTON BOX DH5 POLOS 820X450X680 MM K125/M125/K125 C/F,100,MTRL-00071,"SHEET 131 X 113,6 CM K125/M125/K125 C/F SCOORE 22.7+68+22.7","1,00",400
FG-DHW-00005,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,100,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9","1,00",100
FG-DHW-00005,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,100,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9","0,00",700
FG-DHW-00005,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,100,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9","0,00",1800
FG-DHW-00005,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,100,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9","0,00",200
FG-DHW-00005,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,100,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9","0,66",720
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","0,00",290
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","0,00",507
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","0,00",750
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","0,00",300
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","1,00",262
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","1,00",160
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","0,00",750
FG-DHW-00012,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,290,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3","0,00",500
FG-DHW-00031,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,50,MTRL-00313,"SHEET 244 X 96,6 CM K125/M125X3/K125 BC/F SCOORE 25,8+45+25,8","1,00",50
FG-DHW-00031,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,50,MTRL-00313,"SHEET 244 X 96,6 CM K125/M125X3/K125 BC/F SCOORE 25,8+45+25,8","0,00",400
FG-DHW-00031,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,50,MTRL-00313,"SHEET 244 X 96,6 CM K125/M125X3/K125 BC/F SCOORE 25,8+45+25,8","0,00",315
FG-DHW-00031,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,50,MTRL-00313,"SHEET 244 X 96,6 CM K125/M125X3/K125 BC/F SCOORE 25,8+45+25,8","1,00",400
FG-DHW-00031,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,50,MTRL-00313,"SHEET 244 X 96,6 CM K125/M125X3/K125 BC/F SCOORE 25,8+45+25,8","0,00",400
FG-DHW-00033,CARTON BOX DH 8,300,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9","1,00",300
FG-EHW-00001,B BOX 14 PM2010,10,MTRL-00324,SHEET 170 X 170 CM K200/M125X3/K200 CB/F BRUTO,"1,00",10
