DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
1,CV. DAARUL HUDA TEKNIK,FG-SRK-00002,CV. DAARUL HUDA TEKNIK,LAYER (LAYER 530X355MM K125/M125 EF),10800,1100,11880000,66767000,
2,CV. DAARUL HUDA TEKNIK,FG-SRK-00009,,PALLET KAYU 1200X1000,4,126000,504000,,KRT00226
3,CV. DAARUL HUDA TEKNIK,FG-SRK-00010,,BOX POLOS (BOX 540X350X180MM K150/M125X3/K150 CBF),4570,11900,54383000,,KRT03370
4,PT. ASAHI INDONESIA,FG-AI-00003,PT. ASAHI INDONESIA,CARTON BOX POLOS 300X300X200,360,9310,3351600,8293500,KRT03854
5,PT. ASAHI INDONESIA,FG-AI-00004,,CARTON BOX POLOS 500X500X500,170,29070,4941900,,KRT00137
6,PT. ASAHI SUKSES INDUSTRI,FG-ASI-00019,PT. ASAHI SUKSES INDUSTRI,CARTON BOX A033070003 UK 230X160X130MM BOX B1 K125/M125X3/K125 CBF,500,3900,1950000,1950000,KRT01724
7,PT. CAC PUTRA PERKASA,FG-CAC-00001,PT. CAC PUTRA PERKASA,CARTON BOX 540X360X220,1510,11200,16912000,17392000,KRT00191
8,PT. CAC PUTRA PERKASA,FG-CAC-00003,,CARTON BOX 720X275X160 (BOLONG SAMPING),30,16000,480000,,KRT00200
9,PT. DAE HWA INDONESIA,FG-DHW-00001,PT. DAE HWA INDONESIA,CARTON BOX DH1 560X380X340 C/FLUTE,750,9400,7050000,67735360,KRT00228
10,PT. DAE HWA INDONESIA,FG-DHW-00002,,CARTON BOX DH4 ; 380*280*270 CB/Flute,440,5320,2340800,,KRT02721
11,PT. DAE HWA INDONESIA,FG-DHW-00003,,CARTON BOX DH5 POLOS 820X450X680 MM K125/M125/K125 C/F,95,22700,2156500,,KRT02722
12,PT. DAE HWA INDONESIA,FG-DHW-00004,,CARTON BOX DH7 ; 545X360X330MM (K150/M125/K150 C/F),500,9450,4725000,,KRT02703
13,PT. DAE HWA INDONESIA,FG-DHW-00005,,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,300,12800,3840000,,KRT00192
14,PT. DAE HWA INDONESIA,FG-DHW-00008,,CARTON BOX DH11 510X510X420 C/F K200/M125/K200,330,15000,4950000,,KRT00194
15,PT. DAE HWA INDONESIA,FG-DHW-00009,,CARTON BOX DH12 380X290X150 CB/F,970,6750,6547500,,KRT02726
16,PT. DAE HWA INDONESIA,FG-DHW-00010,,CARTON BOX DH13 450X290X150,240,6060,1454400,,KRT00195
17,PT. DAE HWA INDONESIA,FG-DHW-00011,,CARTON BOX DH14 POLOS 510X510X310,70,1100,77000,,KRT00196
18,PT. DAE HWA INDONESIA,FG-DHW-00012,,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,760,7980,6064800,,KRT01456
19,PT. DAE HWA INDONESIA,FG-DHW-00013,,CARTON BOX DH17 UK 300X210X80 MM K125/M125X4 CB/F,560,4130,2312800,,KRT00189
