No,Kode Item,Nama Item,Jenis,Stok,Satuan,H. Beli,Harga Jual,TOTAL,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1,TRM4058,3M SF401AF SECREFIT EYEWEAR CLEAR ANTY FOG-LENS /PCS,ADVANEX,0,PCS,75562.5,95000.0,0.0,,,,,,,,,,,,,,,,,
2,TRM3969,3M SF401AF SECUREFIT EYEWEAR CLEAR ANTYFOG-LENS /PCS,ADVANEX,0,PCS,72066.67,95000.0,0.0,,,,,,,,,,,,,,,,,
3,TRM3495,AKRILIK BENING TEBAL 5MM UK 122 X 244CM MERK MC,ADVANEX,0,PCS,1100000.0,1100000.0,0.0,,,,,,,,,,,,,,,,,
4,TRM3637,CAIRAN ANTI RAYAP (ISI 1 LITER) /DIRIGEN,ADVANEX,0,PCS,27475.0,36000.0,0.0,,,,,,,,,,,,,,,,,
5,TRM3916,CARBON REMOVER KAESAR COOLERCARE COMPRESSOR @ 20 LTR / DIRIGEN,ADVANEX,0,PCS,2402500.0,2850000.0,0.0,,,,,,,,,,,,,,,,,
6,TRM3771,DIAL INDICATOR MITUTOYO TYPE 2046A  /PCS,ADVANEX,0,PCS,0.0,605000.0,0.0,,,,,,,,,,,,,,,,,
7,TRM4175,FIXSTEPS TANGGA LIPAT ALUMUNIUM STOOL 2 STEPS SILVER 42 CM,ADVANEX,0,PCS,299000.0,299000.0,0.0,,,,,,,,,,,,,,,,,
8,TRM3982,GELAS UKUR 700ML BAHAN LEAF GREEN 1875/PCS,ADVANEX,0,PCS,10000.0,13500.0,0.0,,,,,,,,,,,,,,,,,
9,TRM3347,"GUNTING PLAT TEKIRO 10""/PCS",ADVANEX,0,PCS,71500.0,105000.0,0.0,,,,,,,,,,,,,,,,,
10,TRM3907,HAND SEALER FS-500 H 5MM HUALIAN /UNIT,ADVANEX,0,PCS,1200000.0,1550000.0,0.0,,,,,,,,,,,,,,,,,
11,TRM3554,HANDY TALKIE / JARAK 1 KM MERK WLN KC-C1 UHF/UNIT,ADVANEX,0,PCS,0.0,249750.0,0.0,,,,,,,,,,,,,,,,,
12,TRM3638,HHVS 2 CM,ADVANEX,0,ROL,45000.0,45000.0,0.0,,,,,,,,,,,,,,,,,
13,TRM3143,KIPAS ANGIN STAND 20 INCH MEREK REGENCY,ADVANEX,0,PCS,800000.0,1080000.0,0.0,,,,,,,,,,,,,,,,,
14,TRM3653,"KIPAS ANGIN TUMPU 18"" SFN 1808 SEKAI - BALING-BALING ALUMUNIUM /UNIT",ADVANEX,0,PCS,530000.0,649953.0,0.0,,,,,,,,,,,,,,,,,
15,TRM3066,KONTAKTOR MITSUBISHI COIL 100 VOLT,ADVANEX,0,PCS,816000.0,1300000.0,0.0,,,,,,,,,,,,,,,,,
16,TRM3348,KUNCI L TEKIRO PANJANG 8 PCS/SET,ADVANEX,0,PCS,82200.0,144450.0,0.0,,,,,,,,,,,,,,,,,
17,TRM3679,LEVEL KACA TANGKI HIDROLIK ZAXIS ZX200 EX200,ADVANEX,0,PCS,120000.0,153900.0,0.0,,,,,,,,,,,,,,,,,
18,TRM3231,MESIN GERINDA TANGAN MAKITA MT90 M0900B,ADVANEX,0,PCS,0.0,430000.0,0.0,,,,,,,,,,,,,,,,,
19,TRM3353,"NIPPLE SPEED CONTROL DPC 1/4"" X 6MM/PCS",ADVANEX,0,PCS,40000.0,50000.0,0.0,,,,,,,,,,,,,,,,,
20,TRM3352,"NIPPLE SPEED CONTROL DPC 1/8"" X 6MM (NSE06-01)/PCS",ADVANEX,0,PCS,38000.0,50000.0,0.0,,,,,,,,,,,,,,,,,
21,TRM3165,"NYLON BAR WARNA BIRU UK DIAMETER 2,5CM X 100CM /POTONG",ADVANEX,0,PCS,0.0,94500.0,0.0,,,,,,,,,,,,,,,,,
22,TRM3163,NYLON SHEET WARNA BIRU UK TEBAL 2CM X 15CM X 30CM / POTONG,ADVANEX,0,PCS,0.0,189000.0,0.0,,,,,,,,,,,,,,,,,
23,TRM4088,ONDA BALL VALVE UK 1/4 INCH /PCS,ADVANEX,0,PCS,0.0,110295.0,0.0,,,,,,,,,,,,,,,,,
24,TRM3019,PALLET PLASTIK TO EXPORT 110 X 110 X 12 CM,ADVANEX,0,PCS,135000.0,185000.0,0.0,,,,,,,,,,,,,,,,,
25,TRM3125,PERLAK WARNA HIJAU @20 MTR /ROLL,ADVANEX,0,PCS,900000.0,900000.0,0.0,,,,,,,,,,,,,,,,,
26,TRM3049,POMPA SUMUR DANGKAL NON OTOMATIS SHARP SPS-109N/UNIT,ADVANEX,0,UNIT,453000.0,607500.0,0.0,,,,,,,,,,,,,,,,,
27,TRM3687,SEKAI KIPAS ANGIN DINDING TORNADO / KIPAS ANGIN MEJA JUMBO  2 IN 1 18 INCH - HFN 1856,ADVANEX,0,PCS,0.0,450000.0,0.0,,,,,,,,,,,,,,,,,
28,TRM2991,TABLET XIAOMI REDMI PAD E 11 INCH RAM 4GB MEMORY 128GB,ADVANEX,0,UNIT,1959000.0,1959000.0,0.0,,,,,,,,,,,,,,,,,
29,TRM3114,"TANGGA MERK DALTON ML 1005 D (6,4 MTR) DOUBLE TELE (3.2 X 3.2 MTR) BERAT 22KG/UNIT",ADVANEX,0,UNIT,2380000.0,3213000.0,0.0,,,,,,,,,,,,,,,,,
30,TRM3772,TAP BALIK TEKIRO @ISI 6 PCS /SET,ADVANEX,0,PCS,0.0,97400.0,0.0,,,,,,,,,,,,,,,,,
31,TRM3680,TEKIRO SET PANJANG KUNCI HEX BALLPOINT (KUNCI L BALLPOINT) HK-BP1204 1.5-10MM,ADVANEX,0,PCS,0.0,179500.0,0.0,,,,,,,,,,,,,,,,,
32,TRM3681,TEKIRO TAMPER TORX KEY LONG SET ( KUNCI L TAMPER TORX LUBANG) HK-TA1206 T10-T50,ADVANEX,0,PCS,0.0,244500.0,0.0,,,,,,,,,,,,,,,,,
33,TRM3065,TIMMING BELT MITSUBOSHI,ADVANEX,0,PCS,127983.0,127983.0,0.0,,,,,,,,,,,,,,,,,
34,TRM3127,AIR ACCU @20 LTR /DIRIGEN,ADVANEX,2,PCS,0.0,120000.0,240000.0,,,,,,,,,,,,,,,,,
35,TRM3888,KERTAS HVS ROLL 60GSM LEBAR 2CM,ADVANEX,15,PCS,45000.0,69750.0,1046250.0,,,,,,,,,,,,,,,,,
36,TRM1359,ALUMINIUM FOIL SINGLE 4200X4000 MM,ALT,0,PCS,0.0,163800.0,0.0,,,,,,,,,,,,,,,,,
37,TRM0580,ALUMINIUM FOR SINGLE 1200 X 4000 MM,ALT,0,PCS,0.0,37600.0,0.0,,,,,,,,,,,,,,,,,
38,TRM1688,KABEL NYY 4X95MM BRAND : SUPREME,ALT,0,MTR,680000.0,680000.0,0.0,,,,,,,,,,,,,,,,,
39,TRM1360,PE FOAM BAG 2X400X250 MM,ALT,0,PCS,0.0,1200.0,0.0,,,,,,,,,,,,,,,,,
40,TRM0219,PE FOAM SHEET 5X200X250MM,ALT,0,PCS,0.0,820.0,0.0,,,,,,,,,,,,,,,,,
41,TRM0084,ADJUSTER M12 + NUT,ARD,0,SET,25034.0,36800.0,0.0,,,,,,,,,,,,,,,,,
42,TRM1512,"BOLT  L BAJA M10 X 25 NUT, WASHER, RING PER",ARD,0,SET,3400.0,5318.0,0.0,,,,,,,,,,,,,,,,,
43,TRM1510,"BOLT  L BAJA M16 X 40 NUT, WASHER, RING PER",ARD,0,SET,9650.0,15093.0,0.0,,,,,,,,,,,,,,,,,
44,TRM1514,"BOLT  L BAJA M16 X 60 NUT, WASHER, RING PER",ARD,0,SET,11650.0,18221.0,0.0,,,,,,,,,,,,,,,,,
45,TRM1511,"BOLT  L BAJA M30 X 50 NUT, WASHER, RING PER",ARD,0,SET,88500.0,138414.0,0.0,,,,,,,,,,,,,,,,,
46,TRM1517,"BOLT  L BAJA M5 X 10 NUT, WASHER, RING PER",ARD,0,SET,700.0,1095.0,0.0,,,,,,,,,,,,,,,,,
47,TRM1516,"BOLT  L BAJA M5 X 20 NUT, WASHER, RING PER",ARD,0,SET,730.0,1142.0,0.0,,,,,,,,,,,,,,,,,
48,TRM1518,"BOLT  L BAJA M6 X 10 NUT, WASHER, RING PER",ARD,0,SET,1300.0,2815.0,0.0,,,,,,,,,,,,,,,,,
49,TRM1515,"BOLT  L BAJA M6 X 15 NUT, WASHER, RING PER",ARD,0,SET,800.0,1251.0,0.0,,,,,,,,,,,,,,,,,
50,TRM1513,"BOLT  L BAJA M8 X 25 NUT, WASHER, RING PER",ARD,0,SET,1750.0,2737.0,0.0,,,,,,,,,,,,,,,,,
51,TRM1558,BOLT BAJA M12 X 40 + NUT+RING PER & PLAT,ARD,0,PCS,3765.0,8840.0,0.0,,,,,,,,,,,,,,,,,
52,TRM1557,BOLT BAJA M14 X 45 + NUT+RING PER & PLAT,ARD,0,PCS,5610.0,13940.0,0.0,,,,,,,,,,,,,,,,,
