DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
DEPARTMEN : PACKAGING (RAW MATERIAL),,,,,,,,
2025-11-30 00:00:00,,,,,,,,
NO,KODE SISTEM,CUSTOMER,NAMA,STOCK,HARGA JUAL,TOTAL,KODE IPOS,
1,MTRL-00008,PT. SURYA RENGO CONTAINERS,SHEET 92 X 160 CM K125/M125X4 CB/F BRUTO,1510,7998,12076980,KRT02181,
2,MTRL-00009,PT. SURYA RENGO CONTAINERS,SHEET 122 X 150 CM M125X5 CB/F BRUTO,2010,9772,19641720,KRT02182,
3,MTRL-00011,PT. SURYA RENGO CONTAINERS,SHEET 140 X 105 CM M125X5 CB/F BRUTO,160,7849,1255840,KRT02183,
4,MTRL-00026,PT. CAKRAWALA MEGA INDAH,SHEET 244 X 122 CM K125/M125X3/K125 CB/F SCOORE 60.5+61.5,303,17692,5360676,KRT01758,
5,MTRL-00063,PT. CAKRAWALA MEGA INDAH,"SHEET 156 X 56,5 CM K200/M125X3/K150 CB/F SCOORE 15.5+25.5+15.5",180,6039,1087020,LKR00099,
6,MTRL-00065,PT. CAKRAWALA MEGA INDAH,SHEET 220 X 64 CM K200/M125X3/K150 CB/F SCOORE 18.8+26.4+18.8,200,9344,1868800,LKR00084,
7,MTRL-00070,PT. CAKRAWALA MEGA INDAH,"SHHET 106,5 X 53 CM K200/M125/K200 C/F NETTO",2440,2737,6678280,LKR00137,
8,MTRL-000732,PT. KATI KARTIKA MURNI,"SHEET 224 X 133,4 CM K150/M125/K150 B/F SCOORE 29.6+103.8",380,12065,4584700,KRT03967,
9,MTRL-00082,PT. SEMANGAT YAN INDONESIA,PALLET 110 X 110 X 12,90,83000,7470000,,
10,MTRL-00089,,"SHEET 120 X 42,4 CM K125/M125/K125 C/F SCOORE 12.7+17+12.7",500,1934,967000,KRT00614,
11,MTRL-00114,PT. CAKRAWALA MEGA INDAH,SHEET 70 X 105 CM K150/M125/K150 C/F BRUTO,500,2798,1399000,KRT00922,
12,MTRL-00129,PT. CAKRAWALA MEGA INDAH,"SHEET 201 X 120,5 CM K275/M125X3/K275 BC/F NETTO",310,22267,6902770,KRT01132,
13,MTRL-00136,PT. KATI KARTIKA MURNI,SHEET 105 X 105 CM K150/M125X3/K150 CB/F NETTO,120,6884,826080,KRT01234,
14,MTRL-00140,,SIKU KARTOON 50 X 50 X 10 MM (P= 1160 MM),300,8536,2560800,,
15,MTRL-00141,PT. SINERGI ANDALAN SINARMADANI,SIKU KARTON 50 X 50 X 10 (P= 1200 MM),560,10400,5824000,,
16,MTRL-00142,,SIKU KARTOON 50 X 50 X 10 MM (P= 1250 MM),475,11475,5450625,KRT01263,
17,MTRL-00145,PT. PARAMITRA GUNAKARYA CEMERLANG,SHEET 85 X 75 CM K125/M125X4 CB/F BRUTO,80,3634,290720,KRT01344,
18,MTRL-00151,PT. CAKRAWALA MEGA INDAH,"SHEET 130 X 55,7 CM K125/M125X4 CB/F SCOORE 16.1+23.5+16.1",655,4046,2650130,KRT01498,
19,MTRL-00153,PT. PARAMITRA GUNAKARYA CEMERLANG,SHEET 129 X 126 CM M125X3 B/F NETTO,460,5386,2477560,KRT00652,
20,MTRL-00168,PT. CAKRAWALA MEGA INDAH,SHEET 78 X 80 CM K125/M125X4 BC/F BRUTO,229,3453,790737,KRT01697,
21,MTRL-00169,PT. CAKRAWALA MEGA INDAH,"SHEET 129 X 34,2 CM K200/M125/K200 C/F SCOORE 13.7+15.5+5",600,2159,1295400,LKR00658,
22,MTRL-00198,,SIKU KARTOON 50 X 50 X 10 MM (P= 980 MM),510,8245,4204950,KRT02059,
23,MTRL-00202,PT. CAKRAWALA MEGA INDAH,"SHEET 249 X 123,3 CM K125/M125X3/K125 CB/F SCOORE 61.8 + 61.5",230,18055,4152650,KRT01847,
24,MTRL-00226,PT. SURYA RENGO CONTAINERS,"SHEET 154 X 75,7 CM K275/M125X3/K275 CB/F SCOORE 19.1+37.5+19.1",1600,10677,17083200,KRT02410,
25,MTRL-00227,PT. CAKRAWALA MEGA INDAH,"SHEET 152 X 80,6 CM K275/M125X3/K275 CB/F SCOORE 18.8+43+18.8",1165,11566,13474390,KRT02411,
26,MTRL-00229,PT. SURYA RENGO CONTAINERS,SHEET 100 X 170 CM K125/M125X3/K125 CB/F BRUTO,1090,9223,10053070,KRT02449,
27,MTRL-00286,PT. CAKRAWALA MEGA INDAH,SHEET 176 X 150 CM K125/M125/K125 B/F BRUTO,620,9255,5738100,LKR01365,
28,MTRL-00306,PT. SURYA RENGO CONTAINERS,"SHEET 216 X 83,4 CM K200/M125/K150 C/F SCOORE 26,7+30+26,7",440,7604,3345760,KRT00857,
29,MTRL-00308,PT. KATI KARTIKA MURNI,"SHEET 182 X 41,8 CM K150/M125X3/K150 CB/F SCOORE 17.8+16+8",960,4750,4560000,KRT00816,
30,MTRL-00309,PT. CAKRAWALA MEGA INDAH,SHEET 230 X 125 CM K200/M125X3/K150 CB/F BRUTO,250,19356,4839000,KRT,
31,MTRL-00314,PT. APP PURINUSA EKAPERSADA,"SHEET 159,5 X 120 CM K275/M125X3/K275 CB/F SCOORE 20+80+20",105,17669,1855245,KRT01745,
32,MTRL-00325,PT. CAKRAWALA MEGA INDAH,SHEET 106 X 80 CM K200/M125X3/K200 CB/F NETTO,500,5954,2977000,KRT02482,
33,MTRL-00340,PT. APP PURINUSA EKAPERSADA,SHEET 63 X 90 CM K200/M125/K200 B/F BRUTO,2300,2588,5952400,KRT04071,
34,MTRL-00346,PT. CAKRAWALA MEGA INDAH,SHEET 132 X 110 CM K125/M125/K125 B/F BRUTO,540,5090,2748600,KRT00669,
35,MTRL-00368,PT. CAKRAWALA MEGA INDAH,"SHEET 180 X 84,6 CM K275/M125X3/K275 CB/F 22,3 + 40 + 22,3",263,14675,3859525,KRT03796,
36,MTRL-00377,PT. CAKRAWALA MEGA INDAH,"SHEET 106,5 X 106,5 CM K200/M125/K200 C/F NETTO",1200,5475,6570000,LKR00148,
37,MTRL-00379,PT. APP PURINUSA EKAPERSADA,SHEET 227 X 134 CM K200/M125X3/K150 CB/F SCOORE 20+101+13,100,20767,2076700,LKR00153,
38,MTRL-00382,PT. CAKRAWALA MEGA INDAH,"SHEET 152 X 79,1 CM K275/M125X3/M275 CB/F SCOORE 15,3 + 48,5 + 15,3",565,10996,6212740,KRT03851,
39,MTRL-00386,PT. APP PURINUSA EKAPERSADA,SHEET 245 X 200 CM K200/M125X3/K150 BC/F BRUTO,120,32020,3842400,,
40,MTRL-00401,PT. SURYA RENGO CONTAINERS,"SHEET 131 X 61,2 CM K125/M125X4 CB/F SCOORE 11,6 + 38 + 11,6",2821,4366,12316486,KRT03259,
41,MTRL-00410,PT. SINERGI ANDALAN SINARMADANI,SIKU UK. 1000 X 50 X 50 X 10 MM,165,9180,1514700,KRT03152,
42,MTRL-00416,PT. CAKRAWALA MEGA INDAH,SHEET 106 X 106 CM K200/M125X3/K200 CB/F NETO,960,8075,7752000,KRT00542,
43,MTRL-00442,PT. KATI KARTIKA MURNI,SHEET 97 X 70 CM K125/M125X4 CB/F BRUTO,610,3871,2361310,,
