Location From Description,Location From City,Location To Description,Location To City, Truck Type , Quoted Price ,
PABRIK WICA CIKARANG,CIKARANG,MALANG,MALANG, GRAND MAX BOX ," Rp586,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,SUKOHARJO,SUKOHARJO, GRAND MAX BOX ," Rp315,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KUDUS,KUDUS, GRAND MAX BOX ," Rp285,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,LUMAJANG,LUMAJANG, GRAND MAX BOX ," Rp586,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,KLATEN,KLATEN, GRAND MAX BOX ," Rp310,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,SEMARANG,SEMARANG, GRAND MAX BOX ," Rp276,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,KEDIRI,KEDIRI, GRAND MAX BOX ," Rp660,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PATI,PATI, GRAND MAX BOX ," Rp285,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PANDAAN,PASURUAN, GRAND MAX BOX ," Rp499,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,GRESIK,GRESIK, GRAND MAX BOX ," Rp448,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,PASURUAN,PASURUAN, GRAND MAX BOX ," Rp499,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,SURABAYA,SURABAYA, GRAND MAX BOX ," Rp448,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,JOMBANG,JOMBANG, GRAND MAX BOX ," Rp499,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEMAK,DEMAK, GRAND MAX BOX ," Rp285,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,SIDOARJO,SIDOARJO, GRAND MAX BOX ," Rp448,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,YOGYAKARTA,YOGYAKARTA, GRAND MAX BOX ," Rp310,500.00 ",
PABRIK WICA CIKARANG,CIKARANG,MAGELANG,MAGELANG, GRAND MAX BOX ," Rp285,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,JEMBER,JEMBER, GRAND MAX BOX ," Rp1,750,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,PANDAAN,PASURUAN, TRUCK BOX CDE ," Rp1,665.00 ",RITEL
PABRIK WICA CIKARANG,CIKARANG,KEDIRI,KEDIRI, TRUCK BOX CDE ," Rp1,955.00 ",
PABRIK WICA CIKARANG,CIKARANG,KEDIRI,KEDIRI, GRAND MAX BOX ," Rp2,244.00 ",
PABRIK WICA CIKARANG,CIKARANG,JOMBANG,JOMBANG, TRUCK BOX CDE ," Rp1,665.00 ",
PABRIK WICA CIKARANG,CIKARANG,YOGYAKARTA,YOGYAKARTA, TRUCK BOX CDE ," Rp1,035.00 ",
PABRIK WICA CIKARANG,CIKARANG,PASURUAN,PASURUAN, TRUCK BOX CDE ," Rp1,665.00 ",
PABRIK WICA CIKARANG,CIKARANG,SUKOHARJO,SUKOHARJO, TRUCK BOX CDE ," Rp1,050.00 ",
PABRIK WICA CIKARANG,CIKARANG,PATI,PATI, TRUCK BOX CDE , Rp950.00 ,
PABRIK WICA CIKARANG,CIKARANG,SURABAYA,SURABAYA, TRUCK BOX CDE ," Rp1,150.00 ",
PABRIK WICA CIKARANG,CIKARANG,SURABAYA,SURABAYA, GRAND MAX BOX ," Rp1,495.00 ",
PABRIK WICA CIKARANG,CIKARANG,MALANG,MALANG, TRUCK BOX CDE ," Rp1,955.00 ",
PABRIK WICA CIKARANG,CIKARANG,KUDUS,KUDUS, TRUCK BOX CDE , Rp950.00 ,
PABRIK WICA CIKARANG,CIKARANG,KLATEN,KLATEN, TRUCK BOX CDE ," Rp1,035.00 ",
PABRIK WICA CIKARANG,CIKARANG,GRESIK,GRESIK, TRUCK BOX CDE ," Rp1,150.00 ",
PABRIK WICA CIKARANG,CIKARANG,GRESIK,GRESIK, GRAND MAX BOX ," Rp1,495.00 ",
PABRIK WICA CIKARANG,CIKARANG,SIDOARJO,SIDOARJO, TRUCK BOX CDE ," Rp1,150.00 ",
PABRIK WICA CIKARANG,CIKARANG,SIDOARJO,SIDOARJO, GRAND MAX BOX ," Rp1,495.00 ",
PABRIK WICA CIKARANG,CIKARANG,JEMBER,JEMBER, TRUCK BOX CDE ," Rp2,200.00 ",
PABRIK WICA CIKARANG,CIKARANG,JEMBER,JEMBER, GRAND MAX BOX ," Rp2,400.00 ",
PABRIK WICA CIKARANG,CIKARANG,DRIYOREJO,GRESIK, TRUCK BOX CDE ," Rp1,150.00 ",
PABRIK WICA CIKARANG,CIKARANG,DRIYOREJO,GRESIK, GRAND MAX BOX ," Rp1,495.00 ",
PABRIK WICA CIKARANG,CIKARANG,DEMAK,DEMAK, TRUCK BOX CDE , Rp950.00 ,
PABRIK WICA CIKARANG,CIKARANG,MAGELANG,MAGELANG, TRUCK BOX CDE , Rp950.00 ,
PABRIK WICA CIKARANG,CIKARANG,LUMAJANG,LUMAJANG, TRUCK BOX CDE ," Rp1,955.00 ",
PABRIK WICA CIKARANG,CIKARANG,SEMARANG,SEMARANG, TRUCK BOX CDE , Rp835.00 ,
PABRIK WICA CIKARANG,CIKARANG,SEMARANG,SEMARANG, GRAND MAX BOX , Rp920.00 ,
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, WINGS BOX ," Rp1,900,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, WINGS BOX ," Rp1,900,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BOGOR,BOGOR, GRAND MAX BOX ," Rp655,000.00 ",
