Location From Description,Location From City,Location To Description,Location To City,Truck Type, Quoted Price 
PABRIK SERANG,SERANG,BOGOR,BOGOR,WINGS BOX," Rp3,000,000.00 "
PABRIK SERANG,SERANG,CIKARANG,BEKASI,WINGS BOX," Rp2,800,000.00 "
PABRIK SERANG,SERANG,CIREBON,CIREBON,WINGS BOX," Rp5,000,000.00 "
PABRIK SERANG,SERANG,DEPOK,DEPOK,WINGS BOX," Rp2,800,000.00 "
PABRIK SERANG,SERANG,JAKARTA BARAT,JAKARTA BARAT,WINGS BOX," Rp2,400,000.00 "
PABRIK SERANG,SERANG,JAKARTA TIMUR,JAKARTA TIMUR,WINGS BOX," Rp2,500,000.00 "
PABRIK SERANG,SERANG,JAKARTA UTARA,JAKARTA UTARA,WINGS BOX," Rp2,500,000.00 "
PABRIK SERANG,SERANG,MAJALENGKA,MAJALENGKA,WINGS BOX," Rp5,000,000.00 "
PABRIK SERANG,SERANG,BANDUNG,BANDUNG,WINGS BOX," Rp4,800,000.00 "
PABRIK SERANG,SERANG,BEKASI,BEKASI,WINGS BOX," Rp2,800,000.00 "
PABRIK SERANG,SERANG,KARAWANG,KARAWANG,WINGS BOX," Rp3,000,000.00 "
PABRIK SERANG,SERANG,PURWAKARTA,PURWAKARTA,WINGS BOX," Rp3,500,000.00 "
PABRIK SERANG,SERANG,TANGERANG,TANGERANG,WINGS BOX," Rp2,200,000.00 "
PABRIK SERANG,SERANG,CICALENGKA,BANDUNG,WINGS BOX," Rp5,000,000.00 "
PABRIK SERANG,SERANG,PABRIK WICA CIKARANG,CIKARANG,WINGS BOX," Rp2,800,000.00 "
PABRIK SERANG,SERANG,BOGOR,BOGOR,TRUCK BOX SEDANG (8-," Rp2,300,000.00 "
PABRIK SERANG,SERANG,CIANJUR,CIANJUR,TRUCK BOX SEDANG (8-," Rp3,700,000.00 "
PABRIK SERANG,SERANG,CIBITUNG,BEKASI,TRUCK BOX SEDANG (8-," Rp2,500,000.00 "
PABRIK SERANG,SERANG,CIKAMPEK,KARAWANG,TRUCK BOX SEDANG (8-," Rp2,900,000.00 "
PABRIK SERANG,SERANG,CIKARANG,BEKASI,TRUCK BOX SEDANG (8-," Rp2,000,000.00 "
PABRIK SERANG,SERANG,CIREBON,CIREBON,TRUCK BOX SEDANG (8-," Rp3,200,000.00 "
PABRIK SERANG,SERANG,DEPOK,DEPOK,TRUCK BOX SEDANG (8-," Rp1,950,000.00 "
PABRIK SERANG,SERANG,GARUT,GARUT,TRUCK BOX SEDANG (8-," Rp4,200,000.00 "
PABRIK SERANG,SERANG,JAKARTA BARAT,JAKARTA BARAT,TRUCK BOX SEDANG (8-," Rp1,800,000.00 "
PABRIK SERANG,SERANG,JAKARTA TIMUR,JAKARTA TIMUR,TRUCK BOX SEDANG (8-," Rp2,300,000.00 "
PABRIK SERANG,SERANG,JAKARTA UTARA,JAKARTA UTARA,TRUCK BOX SEDANG (8-," Rp1,800,000.00 "
PABRIK SERANG,SERANG,JOMBANG,JOMBANG,TRUCK BOX SEDANG (8-," Rp7,200,000.00 "
