No,Kode,Nama,Kontak,NPWP,Email,Telepon,Alamat,Kategori
,PL0001,CV. KINGDOM PANEL INDONESIA,,,,081586607037,PERGUDANGAN PANTAI INDAH DADAP BLOK FF NO.66,Customer
,PL0002,PT. MAJU TEKNIK UTAMA INDONESIA,,,,02182496133,JL. RAYA CILEUNGSI JONGGOL KM.5 GANDOANG,Customer
,PL0003,PT. SARI ENESIS INDAH,,,,,"JL. KURING I BLOK L5 NO.5, DELTA SILICON INDUSTRIAL ESTATE, CIKARANG BEKASI 17530",
,PL0004,PT. FUKOKU TOKAI RUBBER INDONESIA,,,,,"JL. INDUSTRI SELATAN 6A BLOK GG 6A-F KAWASAN INDUSTRI JABABEKA - CIKARANG PASAR SARI, CIKARANG SELATAN",
,PL0005,PT. PRADANI SUMBER REJEKI,,,,,"RUKO MAGNETICA B NO 16, LIPPO CIKARANG",
,PL0006,PT. ANDHIGITA PERSADA JAYA,,,,,"JL. TROPIKA 15 BLOK B NO 5, JABABEKA 2, CIKARANG",
,PL0007,PT. SEMANGAT YAN INDONESIA,,,,,"KP RAWA ATUG ,  RT 002,  RW 006, CIBENING, SETU, KAB. BEKASI, JAWA BARAT 17329",
,PL0008,PRINPACK,,,,,"PERUM VILLA BEKASI INDAH I, BLOK E3 NO. 04 RT.07 RW.012 DS. MANGUN JAYA, KEC. TAMBUN SELATAN",
,PL0009,PT. WIJAYA SUMBER REJEKI,,,,,DE GREEN VALLEY BLOK I 10 NO 01 DESA CIANTRA CIKARANG SELATAN,
,PL0010,PT. YESUN INDONESIA TEKNIK DIGITAL PRINTING,,,,,"KAWASAN BUSINESS LINK CITRA RAYA BLOK O - 02 NO.19 KEL. SUKAMULYA, KEC. CIKUPA - TANGERANG",
,PL0011,PT. SAKATA NIMOTECH INDONESIA,,,,,JLN. RAYA SERANG - SETU RT.011 RW.009 BLOK D13 NO.01 DESA SUKADAMI KEC. CIKARANG SELATAN,
,PL0012,PT. PERKASA ALINDA TEKNINDO,,,,,JL. HAJI MAWAR NO.33 C RT.07/07 SUNTER JAYA - JAKARTA UTARA 14350,
,PL0013,PT. INDONESIA NIPPON SEIKI,,,,0254-402166,"JL.UTAMA MODERN INDUSTRI BLOK EKAWASAN INDUSTRI MODERN CIKANDEDESA BARENGKOK, KEC. KIBIN, SERANGBANTEN - INDONESIA 42186",
,PL0014,PT. TRIDAYA PERSANUSA PRATAMA,,,,021-62308775,LTC-GLODOK BLOK B 17 NO.8,
,PL0015,PT. DAYA CIPTA TEKNIK,,,,02188371009,"JL. RAYA KH NOER ALI RT 007 RW 003 CIBUNTU, CIBITUNG - BEKASI",
,PL0016,PT. JSKYE,,,,,JAKARTA,
,PL0017,PT. Sekiso Industries Indonesia,,,,,"Kawasan Industri Mm 2100 Bl Nn/13, Jatiwangi, Cikarang Barat, Jatiwangi, Kec. Cikarang Bar., Cibitung Bekasi, Jawa Barat 17520",
,PL0018,PT. CONTINENTAL PANJIPRATAMA,,,,021 - 5558807,Jalan Kayu Besar III No. 8 Tegal Alur - Kali Deres,
,PL0019,PT. FATHANA TRANS NIAGA,,,,,"Perum Grand Permata City blok D4/05,Karangs setia,Karang bahagia,Bekasi",
,PL0020,PT. HASTA PRIMA INDUSTRI,,,,,JL MODERN INDUSTRI III NO. 1 MODERN INDUSTRIAL ESTADE CIKANDE,
,PL0021,PT. PARKLAND WORLD INDONESIA,,,,+62-254-402-301,JL RAYA SERANG KM 68 DESA NAMBO ILIR KIBIN CIKANDE SERANG BANTEN,
,PL0022,PT. MULTIJAYA CAHAYA MAKMUR,,,,,JL JATI V BLOK J-4 NO. 2A KAWASAN NEWTON TECHNOPARK LIPPO CIKARANG SUKARESMI - CIKARANG SEKATAN BEKASI,
,PL0023,PT. KAWASAKI MOTOR INDONESIA,,,,,KAWASAN INDUSTRI MM2100 JL. MADURA BLOK L - 11 CIKARANG BARAT,
,PL0024,CV. CAKRAWALA TIMUR BERKAH,,,,,PERUM BUMI CIKARANG ASRI BLOK B NO 57 RT.014/02 DS. SUKASARI KEC. SERANG BARU,
,PL0025,PT. ZEUS COMPONENT INDONESIA,,,,,"PARAGON BUSINESS PARK, JL GUNUNG MANDALA BLOK B NO. 28C DESA CIBATU, KEC.CIAKARANG SELATAN",
,PL0026,PT. MAJUBHAKTI PRASINDO,,,,,KAWASAN NEWTON TECHNO PARK - LIPPO CIKARANG JL. JATI V BLOK J4 NO. 2,
