Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  , Total , PPN , Total Akhir ,No FP,Ket
PT. KAWASAKI MOTOR INDONESIA,2/2/2026 9:43,PA26010369,0568/JL/CKRG/0226,1,KRT01966,CARTON BOX K-79 (BROWN) (K8120-0058),20.00,PCS,"5,800.00",0,"116,000.00"," 12,760.00 "," 128,760.00 ",04002600035935225,PO : PA26010369                           DO : DLV-2602023753
PT. KAWASAKI MOTOR INDONESIA,2/2/2026 9:45,PA26010232,0569/JL/CKRG/0226,1,KRT01966,CARTON BOX K-79 (BROWN) (K8120-0058),20.00,PCS,"5,800.00",0,"116,000.00"," 12,760.00 "," 128,760.00 ",04002600035935223,PO : PA26010232                           1.DLV-2602023751                       2.DLV-2602023752                       
PT. KAWASAKI MOTOR INDONESIA,2/2/2026 9:45,PA26010232,0569/JL/CKRG/0226,2,KRT01966,CARTON BOX K-79 (BROWN) (K8120-0058),5.00,PCS,"5,800.00",0,"29,000.00"," 3,190.00 "," 32,190.00 ",04002600035935223,PO : PA26010232                           1.DLV-2602023751                       2.DLV-2602023752                       
,,,,,,,,,,,,,,,
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 10:37,PO20251218000310,0105/JL/CKRG/0126,1,KRT04962,(998486000060594) 1D TYPE DUTER CARTON / 535X475X250MM / D500150,500.00,PCS,"26,700.00",0,"13,350,000.00"," 1,468,500.00 "," 14,818,500.00 ",04012600003208559,PO : PO20251218000310               1.DLV-2512293320                       2.DLV-2512243280                       
PT. EVERPRO INDONESIA TECHNOLOGIES,2/2/2026 10:37,PO20251218000310,0105/JL/CKRG/0126,2,KRT04963,(998486000060402) PACKING / BOX / H-SHAPED OUTER CARTON / BLACK PRINTING / DOUBLE LAYER CORRUGATED PAPER / NATURAL COLOR / 440X300X250MM / D500052,100.00,PCS,"12,830.00",0,"1,283,000.00"," 141,130.00 "," 1,424,130.00 ",04012600003208559,PO : PO20251218000310               1.DLV-2512293320                       2.DLV-2512243280                       
,,,,,,,,,,,,,,,
PT. DAIWA SINERGI KARYATAMA,2/2/2026 11:10,001/TLJ/DSK/I/26,0485/JL/CKRG/0226,1,KRT00484,PARTISI K2FA PANJANG : 640 X 95 MM PENDEK : 440 X 95 MM,"1,000.00",SET,"6,300.00",0,"6,300,000.00"," 693,000.00 "," 6,993,000.00 ",04002600027867595,PO : 001/TLJ/DSK/I/26                   DO : DLV-2602023755
PT. DAIWA SINERGI KARYATAMA,2/2/2026 11:10,001/TLJ/DSK/I/26,0485/JL/CKRG/0226,2,KRT00483,"PARTISI KOWF/LIGHT GUIDE (PANJANG 3, PENDEK 6)",50.00,SET,"3,290.00",0,"164,500.00"," 18,095.00 "," 182,595.00 ",04002600027867595,PO : 001/TLJ/DSK/I/26                   DO : DLV-2602023755
,,,,,,,,,,,,,,,
