No,KODE (SKU/ID),Nama,Pad Code,Kode Ipos,Satuan,Kategori,Customer,Stock Aman,Stock Minimum,Harga FG,Last Update,User Update,Price Satuan,BOM Kode,Material Kode,Nama Material,Ratio
,KRT00200,CARTON BOX DH4 ; 380*280*270 CB/Flute,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00001,MTRL-00001,MTRL-00001,1
,KRT02606,PACKING CASE FXMQ 3P645095,,,PCS,Product,PT. DAIKIN MANUFACTURING INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00001,MTRL-00001,MTRL-00001,1
,KRT04173,LAYER KARTON,,,PCS,Produk,PT. AGRASINDO BERKAH MANDIRI,0,0,1100,24/01/2026 10:55:06,System,Rp 1.100,MTRL-00002,MTRL-00002,"SHEET 179 X 66,2 CM K150/M125X3/K150 CB/F SCOORE 17.5+31.2+17.5",1
,KRT02087,B BOX 7 INCH (PM2005),,,PCS,Product,PT. EHWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00002,MTRL-00002,"SHEET 179 X 66,2 CM K150/M125X3/K150 CB/F SCOORE 17.5+31.2+17.5",1
,KRT04072,KARTON BOX 430X350X350,,,PCS,Produk,PT. AGRASINDO BERKAH MANDIRI,0,0,8000,24/01/2026 10:55:06,System,Rp 8.000,MTRL-00003; MTRL-00002,MTRL-00003; MTRL-00002,"SHEET 84 X 155 CM K150/M125/K150 C/F BRUTO; SHEET 179 X 66,2 CM K150/M125X3/K150 CB/F SCOORE 17.5+31.2+17.5",1; 1
,KRT02815,DUS RANJANG MIB UK 160,,,PCS,Produk,CV. AGUNG MANDIRI METAL WORK,0,0,13135,24/01/2026 10:55:06,System,Rp 13.135,MTRL-00005,MTRL-00005,SHEET 165 X 120 CM K150/M125/K125 B/F BRUTO,1
,KRT01997,BOX LYSAGHT KL65 700X260X215 (K150/M125/KM150) (PRINTING HITAM),,,PCS,Produk,PT. DWIKARYA SEJAHTERA,0,0,5900,24/01/2026 10:55:06,System,Rp 5.900,MTRL-00007,MTRL-00007,SHEET 148 X 120 CM K125/M125/K125 B/F BRUTO,1
,KRT01310,CARTON BOX MELEK TEA,,,PCS,Product,PT. PRINTPACK,0,0,1500,05/02/2026 11:17:18,System,Rp 1.500,MTRL-00007,MTRL-00007,SHEET 148 X 120 CM K125/M125/K125 B/F BRUTO,1
,KRT02188,BOX KLOSET JONGKOK ISI 3 ORTA (BBP-BOX-SX),,,PCS,Product,PT. KARYA BUMIMAS PERSADA,0,0,23000,05/02/2026 11:17:18,System,Rp 23.000,MTRL-00008,MTRL-00008,SHEET 92 X 160 CM K125/M125X4 CB/F BRUTO,3
,KRT00134,CARTON BOX 460X300X300,,,PCS,Produk,PT. ASAHI INDONESIA,0,0,13300,24/01/2026 10:55:06,System,Rp 13.300,MTRL-00009,MTRL-00009,SHEET 122 X 150 CM M125X5 CB/F BRUTO,1
,KRT01844,BOX HI-RIB 677X153X47 (K150/M125/K125 C/F) (SUPPORT HI RIB PRINTING BIRU),,,PCS,Produk,PT. DWIKARYA SEJAHTERA,0,0,2750,24/01/2026 10:55:06,System,Rp 2.750,MTRL-00009,MTRL-00009,SHEET 122 X 150 CM M125X5 CB/F BRUTO,1
,KRT02721,CARTON BOX DH7 ; 545X360X330MM (K150/M125/K150 C/F),,,PCS,Product,PT. DAE HWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00010,MTRL-00010,"SHEET 185 X 69,4 CM K125/M125/K125 C/F SCOORE 18.2+33+18.2",1
,KRT00047,BOX 575 X 550 X 340 SNI10,,,PCS,Product,PT. SANOH INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00012,MTRL-00012,"SHEET 231 X 91,5 CM K200/M125X3/K150 CB/F SCOORE 28+35.5+28",1
,KRT00019,BIG CARTON BOX LX110CD (K3120-0019),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00013,MTRL-00013,"SHEET 211,5 X 113 CM K150/M125/K150 C/F SCOORE 86,2+26,8",2
,KRT00044,BOX 530 X 460 X 315 SNI14,,,PCS,Product,PT. SANOH INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00017,MTRL-00017,"SHEET 202 X 63,3 CM K200/M125X3/K150 CB/F SCOORE 23.3+32+8",1
,KRT01333,OUTBOX BOSCH 4.5 2 PACK MP20 PCS (PM2196),,,PCS,Product,PT. EHWA INDONESIA,0,0,5840,05/02/2026 11:17:18,System,Rp 5.840,MTRL-00018,MTRL-00018,"SHEET 97 X 39,9 CM K150/M125X3/K125 CB/F SCOORE 8,7+22,5+8,7",1
,KRT00137,CARTON BOX 540X360X220,,,PCS,Product,PT. CAC PUTRA PERKASA,0,0,11200,05/02/2026 11:17:18,System,Rp 11.200,MTRL-00023,MTRL-00023,"SHEET 186 X 60 CM K150/M125X3/K125 CB/F SCOORE 18,5+23+18,5",1
,KRT00131,CARTON BOX 387X277X125 MM,,,PCS,Product,PT. CAC PUTRA PERKASA,0,0,6000,05/02/2026 11:17:18,System,Rp 6.000,MTRL-00024,MTRL-00024,"SHEET 128 X 37,3 CM K200/M125X3/K150 CB/F SCOORE 11,8+13,7+11,8",1
,KRT00337,KARTON SNI 18 (500 X 275 X 160),,,PCS,Product,PT. SANOH INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00027,MTRL-00027,"SHEET 161 X 39,3 CM K200/M125X3/K150 CB/F SCOORE 14.3+17+8",1
,KRT00173,CARTON BOX CB 32-B (K3110-0004),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00029,MTRL-00029,"SHEET 108 X 51,4 CM K200/M125/K150 C/F SCOORE 13.2+25+13.2",1
