Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. KAWATA INDONESIA,46055.3795833333,KIPO26010208,0403/JL/CKRG/0226,1,TRM1215,CORRUGATED FLEXIBLE CONDUIT HITAM ID DIA 10MM/OD.16MM TYPE FCP-10 (50MTR./ROLL) (NB115-1),100,MTR,1800,0,180000,19800,199800,04002600022889603,PO : KIPO26010208
PT. KAWATA INDONESIA,46055.3818981481,KIPO26010223,0404/JL/CKRG/0226,1,TRM0236,TERMINAL LUG RING TYPE KSS R3.5-6 [100PCS/PACK] (SKUN RING POLOS FOR WIRE 2.50-4.00MM2) (CC029),1000,PCS,450,0,450000,49500,499500,04012600022889598,PO : KIPO26010223                      DO : 12360-020226
PT. KAWATA INDONESIA,46055.3818981481,KIPO26010223,0404/JL/CKRG/0226,2,TRM0145,DIODA IN4002 (DN001),200,PCS,400,0,80000,8800,88800,04012600022889598,PO : KIPO26010223                      DO : 12360-020226
PT. KAWATA INDONESIA,46055.3818981481,KIPO26010223,0404/JL/CKRG/0226,3,TRM0063,ROCK WOOL  Ø16 X  Ø26 (BESAR) (NB390),10,PCS,214600,0,2146000,236060,2382060,04012600022889598,PO : KIPO26010223                      DO : 12360-020226
PT. KAWATA INDONESIA,46055.3835069444,KIPO26010222,0405/JL/CKRG/0226,1,TRM4494,LONG DRAT M10X1.5 (GALVANIZE) [Q235] (1 METER/PC) FOR SHAFT HONEYCOMB DFG-SERIES,50,PCS,12416,0,620800,68288,689088,04002600022889645,PO : KIPO26010222                      DO : 12361-020226
PT. KAWATA INDONESIA,46055.3844328704,KIPO25110126,0406/JL/CKRG/0226,1,TRM1008,"TOWER LIGHT LED (Q-LIGHT) ST45L-BZ 2-2 220-AC220V RG (RED, GREEN) BRACKET TYPE QZ18 C/W BUZZER (RG085)",7,PCS,900000,0,6300000,693000,6993000,04002600022889626,PO : KIPO25110126
PT. HANYA KARYA BAHANA,46055.3888657407,HKB/PO/01/0256/3456,0423/JL/CKRG/0226,1,TRM0532,KERTAS VCI 30 x 33,500,PCS,1765,0,882500,97075,979575,04002600025995764,PO : HKB/PO/01/0256/3456DO NO. : 12358-020226
PT. KAWATA INDONESIA,46055.3893865741,KIPO25100184,0407/JL/CKRG/0226,1,TRM0079,BUBBLE SHEET (NB058),4,ROL,156245,0,624980,68747.8,693727.8,04012600022889608,PO : KIPO25100184                       DO : 12363-020226
PT. KAWATA INDONESIA,46055.3893865741,KIPO25100184,0407/JL/CKRG/0226,2,TRM0220,POLYFOAM 200CMX100CMX2.6CM (NB059),15,LBR,150000,0,2250000,247500,2497500,04012600022889608,PO : KIPO25100184                       DO : 12363-020226
PT. KAWATA INDONESIA,46055.3893865741,KIPO25100184,0407/JL/CKRG/0226,3,TRM0212,METALIZING W 1.2XL.50M (NB148),18,ROL,351450,0,6326100,695871,7021971,04012600022889608,PO : KIPO25100184                       DO : 12363-020226
