Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
"ARDON INTI PRESISI, PT",46049.3675347222,082/PO/AIP-TLJP/I/25,0355/JL/CKRG/0126,1,TRM0284,FLANGE BOLT M14 X 1.5 X 15,50,PCS,7225,0,361250,39737.5,400987.5,04002600016564621,PO : 082/PO/AIP-TLJP/I/25          DO : 12342-270126
"ARDON INTI PRESISI, PT",46049.3675347222,082/PO/AIP-TLJP/I/25,0355/JL/CKRG/0126,2,TRM0243,NUT WELDING M.8 X 1.25,30000,PCS,255,0,7650000,841500,8491500,04002600016564621,PO : 082/PO/AIP-TLJP/I/25          DO : 12342-270126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953587963,5701690021,0225/JL/CKRG/0126,1,TRM2606,CHECKLIST APAR,500,PCS,4000,0,2000000,220000,2220000,04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953587963,5701690021,0225/JL/CKRG/0126,2,TRM2595,CHECKLIST TANGGA DORONG,500,PCS,8500,0,4250000,467500,4717500,04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953587963,5701690021,0225/JL/CKRG/0126,3,TRM2602,CHECKLIST BODY HARNESS,500,PCS,8500,0,4250000,467500,4717500,04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953587963,5701690021,0225/JL/CKRG/0126,4,TRM2596,CHECKLIST FALL ARRESTER,200,PCS,9500,0,1900000,209000,2109000,04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953587963,5701690021,0225/JL/CKRG/0126,5,TRM2598,CHECKLIST EYEWASH,200,PCS,9500,0,1900000,209000,2109000,04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953587963,5701690021,0225/JL/CKRG/0126,6,TRM2597,CHECKLIST HAND PALLET,200,PCS,10500,0,2100000,231000,2331000,04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953935185,5701690028,0226/JL/CKRG/0126,1,TRM4466,CHECKLIST MEWP,50,PCS,9500,0,475000,52250,527250,04002600009450244,PO : 5701690028                          DO : 12394-070126
PT Hanjaya Mandala Sampoerna Tbk,46029.4953935185,5701690028,0226/JL/CKRG/0126,2,TRM4467,CHECKLIST EMERGENCY CABINET,50,PCS,19000,0,950000,104500,1054500,04002600009450244,PO : 5701690028                          DO : 12394-070126
PT INTEGRASI MEDIKA PRIMA,46029.4319444444,PO-L-202512000210,0048/JL/CKRG/0126,1,TRM4454,TEMPAT PAPAN NAMA 30 X 7.5CM,14,PCS,145000,0,2030000,223300,2253300,04002600001556008,PO : PO-L-202512000210              DO : 12278-070125
PT INTEGRASI MEDIKA PRIMA,46029.4319444444,PO-L-202512000210,0048/JL/CKRG/0126,2,TRM4455,PAPAN NAMA 34 X 4.5CM,19,PCS,21000,0,399000,43890,442890,04002600001556008,PO : PO-L-202512000210              DO : 12278-070125
PT INTEGRASI MEDIKA PRIMA,46029.4319444444,PO-L-202512000210,0048/JL/CKRG/0126,3,TRM4456,PAPAN NAMA 30 X 7CM,19,PCS,21000,0,399000,43890,442890,04002600001556008,PO : PO-L-202512000210              DO : 12278-070125
PT INTEGRASI MEDIKA PRIMA,46030.4102546296,PO-L-202601000027,0068/JL/CKRG/0126,1,TRM3440,PRINT CARTON UK 41 X 60CM,2,PCS,105000,0,210000,23100,233100,04002600002187370,PO : PO-L-202601000027              DO : 12280-080126
PT INTEGRASI MEDIKA PRIMA,46037.4573726852,PO-L-20260100071,0180/JL/CKRG/0126,1,TRM2265,"STICKER LASA A4 @170 PCS (2,5 X 1,3CM)",10,LBR,35000,0,350000,38500,388500,04012600007151306,PO : PO-L-20260100071                DO : 12314-140126
PT INTEGRASI MEDIKA PRIMA,46037.4573726852,PO-L-20260100071,0180/JL/CKRG/0126,2,TRM3294,STICKER ENCERKAN A4 @170 PCS (1.3 X 2.5 CM),10,LBR,35000,0,350000,38500,388500,04012600007151306,PO : PO-L-20260100071                DO : 12314-140126
PT INTEGRASI MEDIKA PRIMA,46049.3771759259,PO-L-202601000142,0354/JL/CKRG/0126,1,TRM3764,LAMPU LED 60X60 29W,4,PCS,514750,0,2059000,226490,2285490,04002600016564632,PO : PO-L-202601000142             DO : 12344-270126
