LAPORAN PENJUALAN DETAIL PERIODE JANUARI 2026,,,,,,,,,,,,,,,
Data per 3 february 2026,,,,,,,,,,,,,,,
Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
"ARDON INTI PRESISI, PT",1/27/2026 8:49,082/PO/AIP-TLJP/I/25,0355/JL/CKRG/0126,1,TRM0284,FLANGE BOLT M14 X 1.5 X 15,50.00,PCS,"7,225.00",0,"361,250.00"," 39,737.50 "," 400,987.50 ",04002600016564621,PO : 082/PO/AIP-TLJP/I/25          DO : 12342-270126
"ARDON INTI PRESISI, PT",1/27/2026 8:49,082/PO/AIP-TLJP/I/25,0355/JL/CKRG/0126,2,TRM0243,NUT WELDING M.8 X 1.25,"30,000.00",PCS,255.00,0,"7,650,000.00"," 841,500.00 "," 8,491,500.00 ",04002600016564621,PO : 082/PO/AIP-TLJP/I/25          DO : 12342-270126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690021,0225/JL/CKRG/0126,1,TRM2606,CHECKLIST APAR,500.00,PCS,"4,000.00",0,"2,000,000.00"," 220,000.00 "," 2,220,000.00 ",04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690021,0225/JL/CKRG/0126,2,TRM2595,CHECKLIST TANGGA DORONG,500.00,PCS,"8,500.00",0,"4,250,000.00"," 467,500.00 "," 4,717,500.00 ",04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690021,0225/JL/CKRG/0126,3,TRM2602,CHECKLIST BODY HARNESS,500.00,PCS,"8,500.00",0,"4,250,000.00"," 467,500.00 "," 4,717,500.00 ",04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690021,0225/JL/CKRG/0126,4,TRM2596,CHECKLIST FALL ARRESTER,200.00,PCS,"9,500.00",0,"1,900,000.00"," 209,000.00 "," 2,109,000.00 ",04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690021,0225/JL/CKRG/0126,5,TRM2598,CHECKLIST EYEWASH,200.00,PCS,"9,500.00",0,"1,900,000.00"," 209,000.00 "," 2,109,000.00 ",04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690021,0225/JL/CKRG/0126,6,TRM2597,CHECKLIST HAND PALLET,200.00,PCS,"10,500.00",0,"2,100,000.00"," 231,000.00 "," 2,331,000.00 ",04002600009450233,PO : 5701690021                           DO : 12393-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690028,0226/JL/CKRG/0126,1,TRM4466,CHECKLIST MEWP,50.00,PCS,"9,500.00",0,"475,000.00"," 52,250.00 "," 527,250.00 ",04002600009450244,PO : 5701690028                          DO : 12394-070126
PT Hanjaya Mandala Sampoerna Tbk,1/7/2026 11:53,5701690028,0226/JL/CKRG/0126,2,TRM4467,CHECKLIST EMERGENCY CABINET,50.00,PCS,"19,000.00",0,"950,000.00"," 104,500.00 "," 1,054,500.00 ",04002600009450244,PO : 5701690028                          DO : 12394-070126
