Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total, PPN , Total Akhir ,No FP,Ket
PT. KAWATA INDONESIA,2/2/2026 9:06,KIPO26010208,0403/JL/CKRG/0226,1,TRM1215,CORRUGATED FLEXIBLE CONDUIT HITAM ID DIA 10MM/OD.16MM TYPE FCP-10 (50MTR./ROLL) (NB115-1),100.00,MTR,"1,800.00",0,"180,000.00"," 19,800.00 "," 199,800.00 ",04002600022889603,PO : KIPO26010208
PT. KAWATA INDONESIA,2/2/2026 9:09,KIPO26010223,0404/JL/CKRG/0226,1,TRM0236,TERMINAL LUG RING TYPE KSS R3.5-6 [100PCS/PACK] (SKUN RING POLOS FOR WIRE 2.50-4.00MM2) (CC029),"1,000.00",PCS,450.00,0,"450,000.00"," 49,500.00 "," 499,500.00 ", 04002600022889598,PO : KIPO26010223
PT. KAWATA INDONESIA,2/2/2026 9:09,KIPO26010223,0404/JL/CKRG/0226,2,TRM0145,DIODA IN4002 (DN001),200.00,PCS,400.00,0,"80,000.00"," 8,800.00 "," 88,800.00 ", 04002600022889598,PO : KIPO26010223
PT. KAWATA INDONESIA,2/2/2026 9:09,KIPO26010223,0404/JL/CKRG/0226,3,TRM0063,ROCK WOOL  Ø16 X  Ø26 (BESAR) (NB390),10.00,PCS,"214,600.00",0,"2,146,000.00"," 236,060.00 "," 2,382,060.00 ", 04002600022889598,PO : KIPO26010223
PT. KAWATA INDONESIA,2/2/2026 9:12,KIPO26010222,0405/JL/CKRG/0226,1,TRM4494,LONG DRAT M10X1.5 (GALVANIZE) [Q235] (1 METER/PC) FOR SHAFT HONEYCOMB DFG-SERIES,50.00,PCS,"12,416.00",0,"620,800.00"," 68,288.00 "," 689,088.00 ",04002600022889645,PO : KIPO26010222 DO : 12361-020226
PT. KAWATA INDONESIA,2/2/2026 9:13,KIPO25110126,0406/JL/CKRG/0226,1,TRM1008,"TOWER LIGHT LED (Q-LIGHT) ST45L-BZ 2-2 220-AC220V RG (RED, GREEN) BRACKET TYPE QZ18 C/W BUZZER (RG085)",7.00,PCS,"900,000.00",0,"6,300,000.00"," 693,000.00 "," 6,993,000.00 ",04002600022889626,PO : KIPO25110126
PT. HANYA KARYA BAHANA,2/2/2026 9:19,HKB/PO/01/0256/3456,0423/JL/CKRG/0226,1,TRM0532,KERTAS VCI 30 x 33,500.00,PCS,"1,765.00",0,"882,500.00"," 97,075.00 "," 979,575.00 ",04002600025995764,PO : HKB/PO/01/0256/3456DO NO. : 12358-020226
PT. KAWATA INDONESIA,2/2/2026 9:20,KIPO25100184,0407/JL/CKRG/0226,1,TRM0079,BUBBLE SHEET (NB058),4.00,ROL,"156,245.00",0,"624,980.00"," 68,747.80 "," 693,727.80 ",04002600022889608,PO : KIPO25100184
PT. KAWATA INDONESIA,2/2/2026 9:20,KIPO25100184,0407/JL/CKRG/0226,2,TRM0220,POLYFOAM 200CMX100CMX2.6CM (NB059),15.00,LBR,"150,000.00",0,"2,250,000.00"," 247,500.00 "," 2,497,500.00 ",04002600022889608,PO : KIPO25100184
PT. KAWATA INDONESIA,2/2/2026 9:20,KIPO25100184,0407/JL/CKRG/0226,3,TRM0212,METALIZING W 1.2XL.50M (NB148),18.00,ROL,"351,450.00",0,"6,326,100.00"," 695,871.00 "," 7,021,971.00 ",04002600022889608,PO : KIPO25100184
PT. KAWATA INDONESIA,2/2/2026 9:20,KIPO25100184,0407/JL/CKRG/0226,4,TRM1089,STRAPPING BAND SIZE : 15MMW X 0.6MMT X 2.500MTR/ROLL (NB064),2.00,ROL,"80,000.00",0,"160,000.00"," 17,600.00 "," 177,600.00 ",04002600022889608,PO : KIPO25100184
PT. KAWATA INDONESIA,2/2/2026 9:20,KIPO25100184,0407/JL/CKRG/0226,5,TRM0058,PYLOX : BLACK NIPPON/RJ (NB027),5.00,CAN,"25,000.00",0,"125,000.00"," 13,750.00 "," 138,750.00 ",04002600022889608,PO : KIPO25100184
PT. KAWATA INDONESIA,2/2/2026 9:20,KIPO25100184,0407/JL/CKRG/0226,6,TRM0228,SILICA GEL 250GR/PACK (NB282),250.00,PCK,"15,456.00",0,"3,864,000.00"," 425,040.00 "," 4,289,040.00 ",04002600022889608,PO : KIPO25100184
PT INTEGRASI MEDIKA PRIMA,2/2/2026 9:49,PO-L- 202601000168,0408/JL/CKRG/0226,1,TRM3234,PRINT CARTON UK 60 X 100CM,1.00,PCS,"120,000.00",0,"120,000.00"," 13,200.00 "," 133,200.00 ",04002600022889624,PO : PO-L-202601000168
PT. KAWASAKI MOTOR INDONESIA,2/2/2026 11:05,C90947,0441/JL/CKRG/0226,1,TRM0487,BOLT FLANGE 8X20 MC3 G7 (K1410-0025),"39,000.00",PCS,760.00,0,"29,640,000.00"," 3,260,400.00 "," 32,900,400.00 ",04002600025902436,PO : C90947 DO : 12354-020226
PT. DAIWA SINERGI KARYATAMA,2/2/2026 11:10,001/TLJ/DSK/I/26,0485/JL/CKRG/0226,1,KRT00484,PARTISI K2FA PANJANG : 640 X 95 MM PENDEK : 440 X 95 MM,"1,000.00",SET,"6,300.00",0,"6,300,000.00"," 693,000.00 "," 6,993,000.00 ",04002600027867595,PO : 001/TLJ/DSK/I/26 DO : DLV-2602023755
PT. DAIWA SINERGI KARYATAMA,2/2/2026 11:10,001/TLJ/DSK/I/26,0485/JL/CKRG/0226,2,KRT00483,"PARTISI KOWF/LIGHT GUIDE (PANJANG 3, PENDEK 6)",50.00,SET,"3,290.00",0,"164,500.00"," 18,095.00 "," 182,595.00 ",04002600027867595,PO : 001/TLJ/DSK/I/26 DO : DLV-2602023755
PT. SUBANG AUTOCOMP INDONESIA,2/2/2026 13:50,SUAI.TLJP-852601-001,0413/JL/CKRG/0226,1,TRM3454,KARET KUMIS TRANSPARAN 5CM (COKLAT),65.00,KG,"205,000.00",0,"13,325,000.00"," 1,465,750.00 "," 14,790,750.00 ",04002600023365133 ,PO : SUAI.TLJP-852601-001DO NO. : 12364-020226
PT. EHWA INDONESIA,2/2/2026 14:05,PO2501-034,0414/JL/CKRG/0226,1,KRT02571,"BULK BOX 8"" (PM2006)",50.00,PCS,"7,236.00",0,"361,800.00", -   ," 361,800.00 ",,PO : PO2601-079 PO2601-028 PO2506-061 DO : DLV-2602023754
PT. EHWA INDONESIA,2/2/2026 14:05,PO2501-034,0414/JL/CKRG/0226,2,KRT02087,"BULK BOX 7"" (PM2005)",400.00,PCS,"6,543.00",0,"2,617,200.00", -   ," 2,617,200.00 ",,PO : PO2601-079 PO2601-028 PO2506-061 DO : DLV-2602023754
