Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  ,Total, PPN , Total Akhir ,No FP,Ket
CV. FLORA JAYA ABADI,1/9/2026 9:42,2525012,0207/JL/CKRG/0126,1,KRT01269,CARTON BOX 378X283X210 MM,500,PCS,7300,0,3650000,401500,4051500,4002600010031737,PO : 02525012 DO : DLV-2601093396
CV. FLORA JAYA ABADI,1/9/2026 9:42,2525012,0207/JL/CKRG/0126,2,KRT00110,CARTON BOX 170 X 120 X 120,500,PCS,1600,0,800000,88000,888000,4002600010031737,PO : 02525012 DO : DLV-2601093396
CV. FLORA JAYA ABADI,1/23/2026 12:42,261901,0323/JL/CKRG/0126,1,KRT01269,CARTON BOX 378X283X210 MM,500,PCS,7300,0,3650000,401500,4051500,4002600015928779,PO : 0261901 DO : DLV-2601233615
CV. FLORA JAYA ABADI,1/29/2026 9:52,262701,0431/JL/CKRG/0226,1,KRT01269,CARTON BOX 378X283X210 MM,410,PCS,7300,0,2993000,329230,3322230,,PO : 0262701 DO : DLV-2601293714
MR VASHDEV DHALAMAL,1/14/2026 11:51,0001/PJ/CKRG/0126,0154/JL/CKRG/0126,1,KRT05027,BOX POLOS UK 85X85X320 K125/M125/K125,200,PCS,1654,0,330800,0,330800,,LS DO : 18069-140126
MR VASHDEV DHALAMAL,1/14/2026 11:51,0001/PJ/CKRG/0126,0154/JL/CKRG/0126,2,KRT05028,BOX POLOS UK 185X85X320 K125/M125/K125,200,PCS,2750,0,550000,0,550000,,LS DO : 18069-140126
MR VASHDEV DHALAMAL,1/14/2026 11:51,0001/PJ/CKRG/0126,0154/JL/CKRG/0126,3,KRT05029,BOX POLOS UK 260X85X320 K125/M125/K125,200,PCS,3400,0,680000,0,680000,,LS DO : 18069-140126
MULTI MAYAKA,1/28/2026 16:56,004/CMG/I/26,0366/JL/CKRG/0126,1,KRT05093,BOX PACKING HAND OIL PUMP UK 205X185X149 MM K150/M125/K150 C/FLUTE,600,PCS,6190,0,3714000,408540,4122540,4002600017669944,PO : 004/CMG/I/26 DO : DLV-2601283685
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,1,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),30,PC,10560,0,316800,34848,351648,4002600001948631,PO : 3400007823 DO : DLV-2512082939
PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,1/5/2026 9:00,3400007823,4302/JL/CKRG/1225,2,KRT03346,CARTON BOX WINGSTOP (1 PACK=10 PCS) WARNA (HITAM),30,PC,10560,0,316800,34848,351648,4002600001948631,PO : 3400007823 DO : DLV-2512082939
