Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot.,Total,PPN,Total Akhir,No FP,Ket
PT. KAWASAKI MOTOR INDONESIA,46055.4054513889,PA26010369,0568/JL/CKRG/0226,1,KRT01966,CARTON BOX K-79 (BROWN) (K8120-0058),20,PCS,5800,0,116000,12760,128760,04002600035935225,PO: PA26010369 DO: DLV-2602023753
PT. KAWASAKI MOTOR INDONESIA,46055.406412037,PA26010232,0569/JL/CKRG/0226,1,KRT01966,CARTON BOX K-79 (BROWN) (K8120-0058),20,PCS,5800,0,116000,12760,128760,04002600035935223,PO: PA26010232 1.DLV-2602023751 2.DLV-2602023752
PT. KAWASAKI MOTOR INDONESIA,46055.406412037,PA26010232,0569/JL/CKRG/0226,2,KRT01966,CARTON BOX K-79 (BROWN) (K8120-0058),5,PCS,5800,0,29000,3190,32190,04002600035935223,PO: PA26010232 1.DLV-2602023751 2.DLV-2602023752
PT. EVERPRO INDONESIA TECHNOLOGIES,46055.4428125,PO20251218000310,0105/JL/CKRG/0126,1,KRT04962,(998486000060594) 1D TYPE DUTER CARTON / 535X475X250MM / D500150,500,PCS,26700,0,13350000,1468500,14818500,04012600003208559,PO: PO20251218000310 1.DLV-2512293320 2.DLV-2512243280
PT. EVERPRO INDONESIA TECHNOLOGIES,46055.4428125,PO20251218000310,0105/JL/CKRG/0126,2,KRT04963,(998486000060402) PACKING / BOX / H-SHAPED OUTER CARTON / BLACK PRINTING / DOUBLE LAYER CORRUGATED PAPER / NATURAL COLOR / 440X300X250MM / D500052,100,PCS,12830,0,1283000,141130,1424130,04012600003208559,PO: PO20251218000310 1.DLV-2512293320 2.DLV-2512243280
PT. DAIWA SINERGI KARYATAMA,46055.4659259259,001/TLJ/DSK/I/26,0485/JL/CKRG/0226,1,KRT00484,PARTISI K2FA PANJANG : 640 X 95 MM PENDEK : 440 X 95 MM,1000,SET,6300,0,6300000,693000,6993000,04002600027867595,PO: 001/TLJ/DSK/I/26 DO: DLV-2602023755
PT. DAIWA SINERGI KARYATAMA,46055.4659259259,001/TLJ/DSK/I/26,0485/JL/CKRG/0226,2,KRT00483,"PARTISI KOWF/LIGHT GUIDE (PANJANG 3, PENDEK 6)",50,SET,3290,0,164500,18095,182595,04002600027867595,PO: 001/TLJ/DSK/I/26 DO: DLV-2602023755
PT. EHWA INDONESIA,46055.5870138889,PO2501-034,0414/JL/CKRG/0226,1,KRT02571,"BULK BOX 8"""" (PM2006)",50,PCS,7236,0,361800,0,361800,,PO: PO2601-079 PO2601-028 PO2506-061 DO: DLV-2602023754
PT. EHWA INDONESIA,46055.5870138889,PO2501-034,0414/JL/CKRG/0226,2,KRT02087,"BULK BOX 7"""" (PM2005)",400,PCS,6543,0,2617200,0,2617200,,PO: PO2601-079 PO2601-028 PO2506-061 DO: DLV-2602023754
PT. EHWA INDONESIA,46055.5870138889,PO2501-034,0414/JL/CKRG/0226,3,KRT02883,"OUT BOX DIABLO 3"""" IP 3 PCS PET 30% (PM2246)",1000,PCS,1294,0,1294000,0,1294000,,PO: PO2601-079 PO2601-028 PO2506-061 DO: DLV-2602023754
PT. EHWA INDONESIA,46055.5870138889,PO2501-034,0414/JL/CKRG/0226,4,KRT02465,"BULK BOX 4"""" (PM2001)",300,PCS,3870,0,1161000,0,1161000,,PO: PO2601-079 PO2601-028 PO2506-061 DO: DLV-2602023754
