Pad Code,Product_id,Date,So No,CUSTOMER,Nama Item,QTY,Harga
PL0132,KRT02691,02-Jan-26,001/F/I/2026,FURINDAH FURNITURE,KARDUS BOX KING KOIL UK 200X11X145 CM K200/M125X3/K200,100 ,105400
PL0114,TRM4149,02-Jan-26,PO0000010973,PT. INDONESIA KOITO,"PARTISI FG D37D HL (PO-26) WARNA ORANGE,STIKER PO-26",255 ,181070
PL0112,KRT02452,03-Jan-26,PO/KBP26-00006,PT. KARYA BUMIMAS PERSADA,BOX WASTAFEL (BBP-BOX-WST),500 ,14090
PL0161,KRT05006,05-Jan-26,A1/STYLEFOX/0A1,PT. ANDARI SAKTI,BOX FOX P15XL14XT8,"4,500 ",950
PL0069,KRT00131,05-Jan-26,001/PO/CAC/1/2026,PT. CAC PUTRA PERKASA,CARTON BOX 387X277X125,"1,500 ",6000
PL0168,KRT05007,05-Jan-26,SPG-PO/001/I-2026,PT. SIGMA PACK GEMILANG,CB. PANORAMIC/WINDSHIELD BYD UK 1550X160X1040 K150XM125X3/K150 CB/F,20 ,59500
PL0168,KRT05008,05-Jan-26,SPG-PO/001/I-2026,PT. SIGMA PACK GEMILANG,CB.RWS BYD UK 1390X240X535  K150XM125X3/K150 CB/F,20 ,43000
PL0168,KRT05009,05-Jan-26,SPG-PO/001/I-2026,PT. SIGMA PACK GEMILANG,CB.FR/RR DOOR BYD UK 1065X160X615  K150XM125X3/K150 CB/F,35 ,29000
PL0168,KRT05010,05-Jan-26,SPG-PO/001/I-2026,PT. SIGMA PACK GEMILANG,CB.FR SUBROOF BYD UK 1310X100X350 K150XM125X3/K150 CB/F,10 ,22000
PL0168,KRT05011,05-Jan-26,SPG-PO/001/I-2026,PT. SIGMA PACK GEMILANG,CB.FV BYD UK 640X100X340 K150XM125X3/K150 CB/F,20 ,11500
PL0168,KRT05012,05-Jan-26,SPG-PO/001/I-2026,PT. SIGMA PACK GEMILANG,CB SW BYD UK 750X100X480 K150XM125X3/K150 CB/F,20 ,15500
PL0168,KRT01104,06-Jan-26,PO2601-010,PT . EHWA INDONESIA,4.5INCH OUT BOX (10PK) - DW4724 225X155X115MM (PM2156),"4,000 ",2221
PL0168,KRT02166,06-Jan-26,PO2601-010,PT . EHWA INDONESIA,"OUTBOX SGA 4,5"" MP 100PCS (PM2218)",500 ,6208
PL0049,KRT00203,06-Jan-26,MRO/29016/PC/2026,PT. PANASONIC MANUFACTURING INDONESIA,CARTON BOX EVAPORATOR REGULER 72X26.5X22.5CM K275/M125/K275 BF 2 LAYER,330 ,14800
PL0087,KRT01135,06-Jan-26,GBU/PO/C/01/2026/00005,PT. GUNA BAKTI UNGGUL,DUS NAMPAN FIONA 56X42.5X47 CM,75 ,18750
PL0087,KRT01329,06-Jan-26,GBU/PO/C/01/2026/00005,PT. GUNA BAKTI UNGGUL,DUS SAPU WINNY 125X30X32.5 CM,100 ,21600
PL0151,KRT03785,06-Jan-26,3700183161,WIRYAMANTA SADINA,PARTY BOX ACTIVITY (1X50 SET),54 ,473000
PL0151,KRT03785,06-Jan-26,3700183162, WIRYAMANTA SADINA,PARTY BOX ACTIVITY (1X50 SET),54 ,473000
PL0069,KRT05017,06-Jan-26,002/PO/CAC/I/2026,PT. CAC PUTRA PERKASA,BOX TUTUP UK 113X110X12.5CM 4 WALL KMK 275 CCBF,100 ,68500
PL0069,KRT02024,06-Jan-26,003/PO/CAC/I/2026,PT. CAC PUTRA PERKASA,CARTON BOX PARTISI 270X2777X145,200 ,5700
PL0069,KRT05018,06-Jan-26,003/PO/CAC/I/2026,PT. CAC PUTRA PERKASA,PARTISI,400 ,2500
PL0069,KRT05019,06-Jan-26,003/PO/CAC/I/2026,PT. CAC PUTRA PERKASA,LAYER,200 ,700
PL0023,KRT01966,06-Jan-26,PA26010087,PT. KAWASAKI MOTOR INDONESIA,CARTON BOX K-79 (BROWN) (K8120-0058),60 ,5800
PL0207,KRT05014,06-Jan-26,WASION2601-PO002,WASION GROUP,BOX UK 160X100X315MM K125/M125/K125 C/FLUTE,"1,000 ",4519
PL0134,KRT03186,07-Jan-26,PO20260100032,PT WANG SARIMULTI UTAMA,LAYER W6 370X220 - LAYER W6,100 ,1000
PL0188,KRT01466,07-Jan-26,001/CSI/PO/I/2026,PT. Cipta Synergi Indonesia,BOX PM 550X360X300MM K125/M125X4 CBF,"2,000 ",9500
