NO,DO NO,Amount,status action 1,status action 2
1,DO-20260107-3404,770000,Approve,Distribusi
2,DO-20260107-2326,2900000,Approve,Distribusi
3,DO-20260107-7969,500000,Approve,Distribusi
8,DO-20260107-3194,1900000,Approve,Distribusi
9,DO-20260107-7344,1100000,Approve,Distribusi
10,DO-20260107-2107,6000000,Approve,Distribusi
11,DO-20260107-9278,570000,Approve,Distribusi
12,DO-20260107-2569,1100000,Approve,Distribusi
13,DO-20260107-6903,1200000,Approve,Distribusi
14,DO-20260107-1504,5800000,Approve,Distribusi
26,DO-20260107-7257,450000,Approve,Distribusi
27,DO-20260107-2714,570000,Approve,Distribusi
36,DO-20260107-0051,1700000,Approve,Distribusi
37,DO-20260107-8242,1700000,Approve,Distribusi
38,DO-20260108-4640,670000,Approve,Distribusi
39,DO-20260108-8335,500000,Approve,Distribusi
40,DO-20260108-8990,1650000,Approve,Distribusi
47,DO-20260113-8976,1700000,Approve,Distribusi
49,DO-20260113-8382,1350000,Approve,Distribusi
50,DO-20260113-4726,300000,Approve,Distribusi
58,DO-20260113-5111,1100000,Approve,Distribusi
59,DO-20260113-0906,1950000,Approve,Distribusi
60,DO-20260113-9186,250000,Approve,Distribusi
61,DO-20260113-4553,1800000,Approve,Distribusi
63,DO-20260113-9516,150000,Approve,Distribusi
68,DO-20260113-9011,1325000,Approve,Distribusi
69,DO-20260113-1825,1700000,Approve,Distribusi
77,DO-20260113-2773,450000,Approve,Distribusi
78,DO-20260113-2853,1600000,Approve,Distribusi
79,DO-20260113-0989,600000,Approve,Distribusi
84,DO-20260113-9785,350000,Approve,Distribusi
86,DO-20260113-4475,1100000,Approve,Distribusi
90,DO-20260113-9992,450000,Approve,Distribusi
91,DO-20260114-7916,5800000,Approve,Distribusi
93,DO-20260115-4605,1325000,Approve,Distribusi
94,DO-20260115-3239,1900000,Approve,Distribusi
100,DO-20260115-6700,1000000,Approve,Distribusi
101,DO-20260115-9948,2900000,Approve,Distribusi
103-1,DO-20260123-6540,570000,Approve,Distribusi
120,DO-20260123-3270,1700000,Approve,Distribusi
124,DO-20260123-0313,2550000,Approve,Distribusi
125,DO-20260123-3270,1200000,Approve,Distribusi
126,DO-20260123-7509 ,1000000,Approve,Distribusi
127,DO-20260123-2915,2900000,Approve,Distribusi
128,DO-20260123-8979,600000,Approve,Distribusi
129,DO-20260123-2461,800000,Approve,Distribusi
133,DO-20260123-8127,1000000,Approve,Distribusi
134,DO-20260123-0055,1400000,Approve,Distribusi
138,DO-20260123-5179,2450000,Approve,Distribusi
143,DO-20260123-7661,1200000,Approve,Distribusi
147,DO-20260123-7699,400000,Approve,Distribusi
152,DO-20260123-6707,1200000,Approve,Distribusi
153,DO-20260123-0583,1200000,Approve,Distribusi
154,DO-20260123-1535,1900000,Approve,Distribusi
156,DO-20260123-3486,2300000,Approve,Distribusi
163,DO-20260123-7324,1000000,Approve,Distribusi
164,DO-20260123-1118,1200000,Approve,Distribusi
172,DO-20260123-1119,0,,
174,DO-20260123-1120,0,,
175,DO-20260123-1121,0,,
176,DO-20260123-1122,0,,
177,DO-20260123-1123,0,,
190,DO-20260123-1124,0,,
191,DO-20260123-1125,0,,
