Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,1,TRW00002,JASA ANGKUTAN,1,LOT,1725000,0,1725000,189750,1914750,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,2,TRW00002,JASA ANGKUTAN,1,LOT,1524000,0,1524000,167640,1691640,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,3,TRW00002,JASA ANGKUTAN,1,LOT,3645000,0,3645000,400950,4045950,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,4,TRW00002,JASA ANGKUTAN,1,LOT,1252500,0,1252500,137775,1390275,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,5,TRW00002,JASA ANGKUTAN,1,LOT,719000,0,719000,79090,798090,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,6,TRW00002,JASA ANGKUTAN,1,LOT,1587000,0,1587000,174570,1761570,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,7,TRW00002,JASA ANGKUTAN,1,LOT,662400,0,662400,72864,735264,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,8,TRW00002,JASA ANGKUTAN,1,LOT,1437000,0,1437000,158070,1595070,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4229513889,,0634/JL/CKRG/0226,9,TRW00002,JASA ANGKUTAN,1,LOT,1524000,0,1524000,167640,1691640,,02/02/2026 SPO NO 8306062589                                  02/02/2026 SPO NO 8306062590                                  02/02/2026 SPO NO 8306062594                                           05/02/2026 SPO NO 8306062854                                          05/02/2026 SPO NO 8306062852                                           06/02/2026 SPO NO 8306062885                                            06/02/2026 SPO NO 8306062891                                           06/02/2026 SPO NO 8306062882                                                       09/02/2026 SPO NO 8306062939
PT WILMAR CAHAYA INDONESIA TBK,46066.4242708333,,0635/JL/CKRG/0226,1,TRW00002,JASA ANGKUTAN,1,LOT,2225250,0,2225250,244777.5,2470027.5,,09/02/2026 SPO NO 8306062955                                  09/02/2026 SPO NO 8306062952                                  10/02/2026 SPO NO 8306063037
