Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot.,Total,PPN,Total Akhir,No FP,Ket
"KYORAKU BLOWMOLDING INDONESIA, PT",01/30/26,,0389/JL/CKRG/0126,1,TRW00002,JASA ANGKUTAN,1,LOT,7395000,0,7395000,813450,8208450,,1.04/01/2026 CDD B 9834 HP PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 2.05/01/2026 CDD G8767 FC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 3.14/01/2026 CDD G 8050 AC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 4.23/01/2026 RITEL B 9877 FXX PT. YMPI (PASURUAN) - PT. KBI (KARAWANG)
"KYORAKU BLOWMOLDING INDONESIA, PT",01/30/26,,0389/JL/CKRG/0126,2,TRW00002,JASA ANGKUTAN,1,LOT,7380000,0,7380000,811800,8191800,,1.04/01/2026 CDD B 9834 HP PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 2.05/01/2026 CDD G8767 FC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 3.14/01/2026 CDD G 8050 AC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 4.23/01/2026 RITEL B 9877 FXX PT. YMPI (PASURUAN) - PT. KBI (KARAWANG)
"KYORAKU BLOWMOLDING INDONESIA, PT",01/30/26,,0389/JL/CKRG/0126,3,TRW00002,JASA ANGKUTAN,1,LOT,7444500,0,7444500,818895,8263395,,1.04/01/2026 CDD B 9834 HP PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 2.05/01/2026 CDD G8767 FC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 3.14/01/2026 CDD G 8050 AC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 4.23/01/2026 RITEL B 9877 FXX PT. YMPI (PASURUAN) - PT. KBI (KARAWANG)
"KYORAKU BLOWMOLDING INDONESIA, PT",01/30/26,,0389/JL/CKRG/0126,4,TRW00002,JASA ANGKUTAN,1,LOT,1406250,0,1406250,154687.5,1560937.5,,1.04/01/2026 CDD B 9834 HP PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 2.05/01/2026 CDD G8767 FC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 3.14/01/2026 CDD G 8050 AC PT. KBI (KARAWANG) - PT. YMPI (PASURUAN) 4.23/01/2026 RITEL B 9877 FXX PT. YMPI (PASURUAN) - PT. KBI (KARAWANG)
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,1,TRW00002,JASA ANGKUTAN,1,LOT,3645000,0,3645000,400950,4045950,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,2,TRW00002,JASA ANGKUTAN,1,LOT,618930,0,618930,68082.3,687012.3,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,3,TRW00002,JASA ANGKUTAN,1,LOT,1587000,0,1587000,174570,1761570,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,4,TRW00002,JASA ANGKUTAN,1,LOT,920000,0,920000,101200,1021200,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,5,TRW00002,JASA ANGKUTAN,1,LOT,1725000,0,1725000,189750,1914750,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,6,TRW00002,JASA ANGKUTAN,1,LOT,1524000,0,1524000,167640,1691640,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,7,TRW00002,JASA ANGKUTAN,1,LOT,1524000,0,1524000,167640,1691640,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,8,TRW00002,JASA ANGKUTAN,1,LOT,920000,0,920000,101200,1021200,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0147/JL/CKRG/0126,9,TRW00002,JASA ANGKUTAN,1,LOT,2300000,0,2300000,253000,2553000,,02/01/2026 SPO NO 8306061276 02/01/2026 SPO NO 8306061277 02/01/2026 SPO NO 8306061278 05/01/2026 SPO NO 8306061334 05/01/2026 SPO NO 8306061333 07/01/2026 SPO NO 8306061484 08/01/2026 SPO NO 8306061538 08/01/2026 SPO NO 8306061541 08/01/2026 SPO NO 8306061542
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0148/JL/CKRG/0126,1,TRW00002,JASA ANGKUTAN,1,LOT,2070000,0,2070000,227700,2297700,,09/01/2026 SPO NO 8306061581 09/01/2026 SPO NO 8306061582 09/01/2026 SPO NO 8306061584
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0148/JL/CKRG/0126,2,TRW00002,JASA ANGKUTAN,1,LOT,1567500,0,1567500,172425,1739925,,09/01/2026 SPO NO 8306061581 09/01/2026 SPO NO 8306061582 09/01/2026 SPO NO 8306061584
PT WILMAR CAHAYA INDONESIA TBK,01/13/26,,0148/JL/CKRG/0126,3,TRW00002,JASA ANGKUTAN,1,LOT,276000,0,276000,30360,306360,,09/01/2026 SPO NO 8306061581 09/01/2026 SPO NO 8306061582 09/01/2026 SPO NO 8306061584
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0271/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,3200000,0,3200000,352000,3552000,,04/01/2026 SPO NO 8306061296
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0272/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2000000,0,2000000,220000,2220000,,04/01/2026 SPO NO 8306061309
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0273/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2300000,0,2300000,253000,2553000,,05/01/2026 SPO NO 8306061392
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0274/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,07/01/2026 SPO NO 8306061561
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0275/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,07/01/2026 SPO NO 8306061520
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0276/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2000000,0,2000000,220000,2220000,,11/01/2026 SPO NO 8306061739
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0277/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,12/01/2026 SPO NO 8306061766
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0278/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2300000,0,2300000,253000,2553000,,12/01/2026 SPO NO 8306061786
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0279/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2000000,0,2000000,220000,2220000,,13/01/2026 SPO NO 8306061822
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0280/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2300000,0,2300000,253000,2553000,,14/01/2026 SPO NO 8306061885
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0281/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,3200000,0,3200000,352000,3552000,,14/01/2026 SPO NO 8306061890
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0282/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,3000000,0,3000000,330000,3330000,,18/01/2026 SPO NO 8306062004
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0283/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2300000,0,2300000,253000,2553000,,19/01/2026 SPO NO 8306062056
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0284/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2500000,0,2500000,275000,2775000,,19/01/2026 SPO NO 8306062006
PT WILMAR CAHAYA INDONESIA TBK,01/22/26,,0285/JL/CKRG/0126,1,TRW0002,JASA ANGKUTAN,1,UNIT,2300000,0,2300000,253000,2553000,,20/01/2026 SPO NO 8306062122
PT WILMAR CAHAYA INDONESIA TBK,01/23/26,,0311/JL/CKRG/0126,1,TRW00002,JASA ANGKUTAN,1,LOT,2070000,0,2070000,227700,2297700,,12/01/2026 SPO NO 8306061654 12/01/2026 SPO NO 8306061653 12/01/2026 SPO NO 8306061655 13/01/2026 SPO NO 8306061789 13/01/2026 SPO NO 8306061790 13/01/2026 SPO NO 8306061802 14/01/2026 SPO NO 8306061846 15/01/2026 SPO NO 8306061915 15/01/2026 SPO NO 8306061916
