
,,,,,LAPORAN PESANAN PENJUALAN DETAIL,,,,,,,,,,,,,,,,PERIODE : 01/01/26 - 28/02/26


,,,,,INSPIRASI MEDIA KREATIF

,,,,,JL. TUKAD BATANGHARI XI NO 2

,,,,,0361-4783465

,,,,,AC : 129-00-1116726-5 



,No Transaksi,,,,,,Tanggal,,,Dept.,,Kode Pel.




,001/F/I/2026,,,,,,1/2/2026,,,SALE,,PL0132

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT02691,,,,,KARDUS BOX KING KOIL UK 200X11X145 CM K200/M125X3/K200,,,,,,,0.00,,,0.00,,PCS,,,,,0.00,0.00,,,,0.00



,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00

,Pot. :,,0.00,,,,,Pajak :,,,0.00,,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,0.00



,PO0000010973,,,,,,1/2/2026,,,SALE,,PL0114

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,IMP4149,,,,,"PARTISI FG D37D HL (PO-26) WARNA ORANGE,STIKER PO-26",,,,,,,255.00,,,0.00,,PCS,,,,,"181,070.00",0.00,,,,"46,172,850.00"



,,,,,,,,,,,,,,255.00,,,,,,,,,,,,,,,"46,172,850.00"

,Pot. :,,0.00,,,,,,,,,,,,Biaya :,,,0.00,,,,,,,,,,"51,251,863.50"
,,,,,,,,Pajak :,,,"5,079,013.50",,,,,,,,,,,,Total Akhir :



,PO/KBP26-00006,,,,,,1/3/2026,,,SALE,,PL0112

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT02452,,,,,BOX WASTAFEL (BBP-BOX-WST),,,,,,,500.00,,,0.00,,PCS,,,,,"14,090.00",0.00,,,,"7,045,000.00"


,,,,,,,,,,,,,,500.00,,,,,,,,,,,,,,,"7,045,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"774,950.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"7,819,950.00"



,A1/STYLEFOX/0A1,,,,,,1/5/2026,,,SALE,,PL0161

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT05006,,,,,BOX FOX P15XL14XT8,,,,,,,"4,500.00",,,"4,500.00",,PCS,,,,,950.00,0.00,,,,"4,275,000.00"


,,,,,,,,,,,,,,"4,500.00",,,,,,,,,,,,,,,"4,275,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,0.00,,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"4,275,000.00"



,PO-000010643,,,,,,1/5/2026,,,SALE,,PL0091

